module1,module2,sat_score
0,0,200
3,0,220
5,0,230
11,0,290
18,1,370
0,2,220
7,2,290
15,2,350
2,3,240
9,3,310
12,3,340
22,3,470
4,4,280
13,4,360
15,4,390
19,4,450
5,5,290
19,5,450
12,6,380
15,6,410
19,6,470
21,6,500
1,7,280
2,7,280
5,7,310
8,7,350
0,9,300
4,9,320
19,9,490
1,10,310
3,10,330
5,10,340
6,10,360
13,10,410
14,10,420
15,10,440
16,10,450
1,2,220
8,2,290
13,2,320
7,3,310
0,4,260
1,4,260
14,4,370
17,4,420
21,5,480
10,7,370
2,8,300
4,8,320
11,8,390
17,10,470
19,10,500
0,11,340
4,11,360
9,11,410
1,12,360
5,12,390
12,12,460
18,12,530
17,13,540
14,14,510
18,14,570
19,14,590
11,15,510
4,0,220
12,0,300
2,4,260
16,4,400
1,5,260
20,5,460
22,10,540
19,13,570
2,15,420
6,15,470
11,17,550
12,17,560
15,18,620
20,20,730
1,1,200
8,1,270
16,2,360
21,3,460
2,5,260
11,5,350
22,5,490
5,8,330
8,9,370
9,9,370
21,9,520
7,11,410
2,12,360
8,12,430
16,12,500
4,13,400
15,13,510
20,15,620
1,16,440
20,16,640
13,17,560
22,18,720
2,0,200
7,0,270
9,0,270
13,0,300
20,0,400
2,1,200
3,1,220
5,1,230
7,1,270
4,2,240
12,2,320
14,2,330
4,3,260
13,3,340
6,4,310
7,4,330
8,4,330
11,4,350
21,4,480
22,4,490
4,5,280
6,5,310
14,5,370
18,5,430
2,6,280
9,6,350
16,6,420
18,6,450
1,0,200
19,0,390
12,1,300
21,1,420
6,2,270
5,3,270
15,3,370
10,5,350
3,6,300
4,6,300
6,6,330
8,6,350
11,6,370
3,7,300
17,7,440
22,7,510
0,8,300
22,8,530
22,9,530
2,10,310
12,10,410
21,0,420
11,1,290
13,1,300
17,1,360
22,1,430
9,2,290
18,2,390
21,2,440
0,3,240
1,3,240
8,3,310
11,3,330
17,3,400
18,3,410
19,3,430
9,4,330
12,4,360
7,5,330
12,5,360
13,5,360
15,5,390
16,5,400
1,6,280
7,6,350
14,6,390
11,7,370
12,7,380
16,7,420
18,7,450
1,8,300
6,8,350
7,8,370
8,8,370
10,8,390
18,8,470
21,8,520
5,9,330
21,10,530
1,11,340
13,11,440
5,11,370
14,11,450
6,12,410
21,15,640
4,16,460
13,16,540
16,17,600
6,18,540
16,18,630
8,19,580
10,19,600
13,19,610
0,20,530
6,20,580
10,21,640
17,21,710
22,21,780
2,22,570
4,22,590
6,22,620
10,22,660
20,22,770
20,12,560
22,13,610
5,14,430
16,15,560
